rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
30,Python,ComfyUI,62850,6711,Python,https://github.com/comfyanonymous/ComfyUI,comfyanonymous,1916,2025-01-09T00:06:04Z,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
31,Python,PayloadsAllTheThings,62369,14849,Python,https://github.com/swisskyrepo/PayloadsAllTheThings,swisskyrepo,15,2024-12-04T11:10:42Z,A list of useful payloads and bypass for Web Application Security and Pentest/CTF
32,Python,keras,62340,19477,Python,https://github.com/keras-team/keras,keras-team,254,2025-01-09T00:22:54Z,Deep Learning for humans
33,Python,sherlock,61621,7084,Python,https://github.com/sherlock-project/sherlock,sherlock-project,214,2024-11-13T21:56:34Z,Hunt down social media accounts by username across social networks
34,Python,scikit-learn,60684,25492,Python,https://github.com/scikit-learn/scikit-learn,scikit-learn,2114,2025-01-08T21:31:20Z,scikit-learn: machine learning in Python
35,Python,open-interpreter,57756,4956,Python,https://github.com/OpenInterpreter/open-interpreter,OpenInterpreter,233,2024-12-10T20:09:11Z,A natural language interface for computers
36,Python,annotated_deep_learning_paper_implementations,57750,5885,Python,https://github.com/labmlai/annotated_deep_learning_paper_implementations,labmlai,32,2024-08-24T09:18:59Z,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
37,Python,new-pac,57444,9634,Python,https://github.com/Alvin9999/new-pac,Alvin9999,413,2025-01-09T02:45:30Z,翻墙-科学上网、自由上网、免费科学上网、免费翻墙、fanqiang、油管youtube/视频下载、软件、VPN、一键翻墙浏览器，vps一键搭建翻墙服务器脚本/教程，免费shadowsocks/ss/ssr/v2ray/goflyway账号/节点，翻墙梯子，电脑、手机、iOS、安卓、windows、Mac、Linux、路由器翻墙、科学上网、youtube视频下载、youtube油管镜像/免翻墙网站、美区apple id共享账号、翻墙-科学上网-梯子
38,Python,llama,57136,9647,Python,https://github.com/meta-llama/llama,meta-llama,469,2024-08-18T07:07:28Z,Inference code for Llama models
39,Python,localstack,57011,4045,Python,https://github.com/localstack/localstack,localstack,325,2025-01-08T17:26:18Z,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline
40,Python,private-gpt,54730,7359,Python,https://github.com/zylon-ai/private-gpt,zylon-ai,254,2024-11-13T19:30:32Z,"Interact with your documents using the power of GPT, 100% privately, no data leaks"
41,Python,you-get,54299,9675,Python,https://github.com/soimort/you-get,soimort,378,2025-01-04T02:13:08Z,:arrow_double_down: Dumb downloader that scrapes the web
42,Python,face_recognition,53875,13526,Python,https://github.com/ageitgey/face_recognition,ageitgey,794,2024-08-21T06:22:36Z,The world's simplest facial recognition api for Python and the command line
43,Python,scrapy,53727,10610,Python,https://github.com/scrapy/scrapy,scrapy,617,2025-01-08T16:28:51Z,"Scrapy, a fast high-level web crawling & scraping framework for Python."
44,Python,Real-Time-Voice-Cloning,53162,8849,Python,https://github.com/CorentinJ/Real-Time-Voice-Cloning,CorentinJ,215,2024-08-14T19:54:03Z,Clone a voice in 5 seconds to generate arbitrary speech in real-time
45,Python,faceswap,52821,13266,Python,https://github.com/deepfakes/faceswap,deepfakes,30,2024-11-19T23:13:32Z,Deepfakes Software For All
46,Python,gpt-engineer,52811,6880,Python,https://github.com/AntonOsika/gpt-engineer,AntonOsika,29,2024-11-17T22:47:32Z,Platform to experiment with the AI Software Engineer. Terminal based. NOTE: Very different from https://gptengineer.app
47,Python,requests,52333,9339,Python,https://github.com/psf/requests,psf,262,2024-12-23T16:06:01Z,"A simple, yet elegant, HTTP library."
48,Python,yolov5,51834,16539,Python,https://github.com/ultralytics/yolov5,ultralytics,209,2025-01-06T20:25:14Z,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
49,Python,openpilot,51541,9276,Python,https://github.com/commaai/openpilot,commaai,161,2025-01-09T02:39:09Z,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 275+ supported cars."
50,Python,hackingtool,51254,5514,Python,https://github.com/Z4nzu/hackingtool,Z4nzu,52,2024-07-31T13:30:04Z,ALL IN ONE Hacking Tool For Hackers
51,Python,rich,50242,1757,Python,https://github.com/Textualize/rich,Textualize,231,2024-12-02T16:01:57Z,Rich is a Python library for rich text and beautiful formatting in the terminal.
52,Python,grok-1,49762,8342,Python,https://github.com/xai-org/grok-1,xai-org,107,2024-08-30T04:17:25Z,Grok open release
53,Python,professional-programming,47106,3739,Python,https://github.com/charlax/professional-programming,charlax,2,2024-12-23T03:33:32Z,A collection of learning resources for curious software engineers
54,Python,big-list-of-naughty-strings,46787,2147,Python,https://github.com/minimaxir/big-list-of-naughty-strings,minimaxir,105,2024-04-18T03:26:59Z,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.
55,Python,MetaGPT,46521,5529,Python,https://github.com/geekan/MetaGPT,geekan,89,2024-12-18T02:20:32Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
56,Python,PaddleOCR,45586,7922,Python,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle,120,2025-01-08T09:31:41Z,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)"
57,Python,pandas,44229,18107,Python,https://github.com/pandas-dev/pandas,pandas-dev,3675,2025-01-08T23:06:32Z,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
58,Python,30-Days-Of-Python,43787,8367,Python,https://github.com/Asabeneh/30-Days-Of-Python,Asabeneh,201,2024-10-09T08:43:32Z,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace.  These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
59,Python,Fooocus,42470,6165,Python,https://github.com/lllyasviel/Fooocus,lllyasviel,248,2024-08-21T01:49:14Z,Focus on prompting and generating
60,Python,langflow,42446,4739,Python,https://github.com/langflow-ai/langflow,langflow-ai,302,2025-01-09T00:12:53Z,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database."
61,Python,OpenHands,42275,4669,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,272,2025-01-09T02:39:55Z,"🙌 OpenHands: Code Less, Make More"
62,Python,Deep-Live-Cam,42148,6192,Python,https://github.com/hacksider/Deep-Live-Cam,hacksider,31,2025-01-07T11:03:22Z,real time face swap and one-click video deepfake with only a single image
63,Python,text-generation-webui,41526,5409,Python,https://github.com/oobabooga/text-generation-webui,oobabooga,237,2025-01-09T00:17:31Z,A Gradio web UI for Large Language Models with support for multiple inference backends.
64,Python,ChatGLM-6B,40955,5237,Python,https://github.com/THUDM/ChatGLM-6B,THUDM,596,2024-06-27T04:05:25Z,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型
65,Python,python-patterns,40742,6950,Python,https://github.com/faif/python-patterns,faif,14,2024-09-05T20:53:59Z,A collection of design patterns/idioms in Python
66,Python,diagrams,40079,2562,Python,https://github.com/mingrammer/diagrams,mingrammer,377,2025-01-06T04:45:28Z,:art: Diagram as Code for prototyping cloud system architectures
67,Python,ailearning,39876,11483,Python,https://github.com/apachecn/ailearning,apachecn,2,2024-11-12T16:21:55Z,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2
68,Python,odoo,39856,25798,Python,https://github.com/odoo/odoo,odoo,7293,2025-01-09T02:17:24Z,Odoo. Open Source Apps To Grow Your Business.
69,Python,stablediffusion,39711,5102,Python,https://github.com/Stability-AI/stablediffusion,Stability-AI,292,2024-10-10T21:28:57Z,High-Resolution Image Synthesis with Latent Diffusion Models
70,Python,sentry,39574,4242,Python,https://github.com/getsentry/sentry,getsentry,2228,2025-01-09T02:49:10Z,Developer-first error tracking and performance monitoring
71,Python,black,39412,2497,Python,https://github.com/psf/black,psf,387,2025-01-07T19:50:57Z,The uncompromising Python code formatter
72,Python,ColossalAI,39008,4349,Python,https://github.com/hpcaitech/ColossalAI,hpcaitech,447,2025-01-08T03:51:50Z,"Making large AI models cheaper, faster and more accessible"
73,Python,cheat.sh,38761,1802,Python,https://github.com/chubin/cheat.sh,chubin,137,2024-12-31T17:50:52Z,the only cheat sheet you need
74,Python,Deep-Learning-Papers-Reading-Roadmap,38581,7335,Python,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,floodsung,89,2022-11-27T13:18:32Z,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!
75,Python,bert,38489,9637,Python,https://github.com/google-research/bert,google-research,887,2024-07-23T23:39:41Z,TensorFlow code and pre-trained models for BERT
76,Python,GPT-SoVITS,38412,4340,Python,https://github.com/RVC-Boss/GPT-SoVITS,RVC-Boss,706,2025-01-02T03:16:32Z,1 min voice data can also be used to train a good TTS model! (few shot voice cloning)
77,Python,nanoGPT,38357,6190,Python,https://github.com/karpathy/nanoGPT,karpathy,274,2024-12-09T23:53:04Z,"The simplest, fastest repository for training/finetuning medium-sized GPTs."
78,Python,airflow,38215,14490,Python,https://github.com/apache/airflow,apache,1215,2025-01-09T00:27:23Z,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
79,Python,llama_index,37874,5442,Python,https://github.com/run-llama/llama_index,run-llama,663,2025-01-08T21:17:33Z,LlamaIndex is a data framework for your LLM applications
80,Python,LLaMA-Factory,37543,4631,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,277,2025-01-08T10:18:49Z,Unified Efficient Fine-Tuning of 100+ LLMs (ACL 2024)
81,Python,mitmproxy,37473,4080,Python,https://github.com/mitmproxy/mitmproxy,mitmproxy,366,2025-01-08T21:03:46Z,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
82,Python,FastChat,37457,4578,Python,https://github.com/lm-sys/FastChat,lm-sys,915,2024-12-26T23:42:40Z,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena."
83,Python,Open-Assistant,37173,3252,Python,https://github.com/LAION-AI/Open-Assistant,LAION-AI,290,2024-08-17T01:55:35Z,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so."
84,Python,quivr,37058,3607,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,89,2025-01-06T09:42:31Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
85,Python,interview_internal_reference,36743,9444,Python,https://github.com/0voice/interview_internal_reference,0voice,31,2024-05-20T12:04:02Z,2023年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。
86,Python,python-cheatsheet,36688,6490,Python,https://github.com/gto76/python-cheatsheet,gto76,23,2025-01-05T16:07:00Z,Comprehensive Python Cheatsheet
